Quelle;Anforderungs Nr.;Titel;Beschreibung;Verbindlichkeit;Pruefverfahren;Thema;Schwerpunkt
gemSpec_ePA_FdV;A_15305-02;ePA-Frontend des Versicherten: Geräteidentifikator abspeichern;"Das ePA-Frontend des Versicherten MUSS einen von der Komponente Autorisierung
übermittelten Geräteidentifikator nutzer- und aktensystemspezifisch abspeichern.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;ePA
gemSpec_ePA_FdV;A_15306-02;ePA-Frontend des Versicherten: DeviceID bilden;"Das ePA-Frontend des Versicherten MUSS beim Start der Applikation
nutzerspezifisch die DeviceID aus der Geräteidentität und dem Gerätenamen aus
der Konfiguration bilden und für Aufrufe an der Schnittstelle zur Komponente
Autorisierung verwenden.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;ePA
gemSpec_ePA_FdV;A_15312-02;ePA-Frontend des Versicherten: Authentisieren des Nutzers;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Authentisieren des
Nutzers"" gemäß TAB_FdV_109 umsetzen.


 Tabelle #: TAB_FdV_109 – Authentisieren des Nutzers

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Authentisieren;Neutral
gemSpec_ePA_FdV;A_15314-01;ePA-Frontend des Versicherten: Dokumentenset in Dokumentenverwaltung hochladen;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Dokumentenset in
Dokumentenverwaltung hochladen"" gemäß TAB_FdV_111 umsetzen.


 Tabelle #: TAB_FdV_111 – Dokumentenset in Dokumentenverwaltung hochladen

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15315-01;ePA-Frontend des Versicherten: IHE XDS-Transaktion [ITI-41];"Das ePA-Frontend des Versicherten MUSS für die Nutzung der Operation
I_Document_Management_Insurant::ProvideAndRegisterDocumentSet-b gemäß der in
[IHE-ITI-TF] definierten IHE XDS-Transaktion [ITI-41] ""Provide & Register
Document Set-b"" als Akteur ""Document Source"" umsetzen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15316-01;ePA-Frontend des Versicherten: Upload verschlüsselter Versichertendokumente;"Das ePA-Frontend des Versicherten MUSS sicherstellen, dass Dokumente des
Versicherten, welche in das ePA-Aktensystem eingestellt werden, verschlüsselt
sind.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15317-02;ePA-Frontend des Versicherten: Dokumentenset aus Dokumentenverwaltung herunterladen;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Dokumentenset aus
Dokumentenverwaltung herunterladen"" gemäß TAB_FdV_112 umsetzen.

 Tabelle #: TAB_FdV_112 – Dokumentenset aus Dokumentenverwaltung herunterladen

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15318-01;ePA-Frontend des Versicherten: IHE XDS-Transaktion [ITI-43];"Das ePA-Frontend des Versicherten MUSS für die Nutzung der Operation
I_Document_Management_Insurant::RetrieveDocumentSet gemäß der in [IHE-ITI-TF]
definierten IHE XDS-Transaktion [ITI-43] ""Retrieve Document Set"" als Akteur
""Document Consumer"" umsetzen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15319-02;ePA-Frontend des Versicherten: Dokumentenset in Dokumentenverwaltung löschen;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Dokumentenset in
Dokumentenverwaltung löschen"" gemäß TAB_FdV_113 umsetzen.

 Tabelle #: TAB_FdV_113 – Dokumentenset in Dokumentenverwaltung löschen

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15320-02;ePA-Frontend des Versicherten: IHE RMD-Transaktion [ITI-62];"Das ePA-Frontend des Versicherten MUSS die Nutzung der Operation
I_Document_Management_Insurant::RemoveMetadata gemäß der in [IHE-ITI-RMD]
definierten IHE RMD-Transaktion [ITI-62] ""Remove Metadata"" als Akteur ""Document
Administrator"" umsetzen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15321-01;ePA-Frontend des Versicherten: Suche nach Dokumenten in Dokumentenverwaltung;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Suche nach Dokumenten in
Dokumentenverwaltung"" gemäß TAB_FdV_114 umsetzen.


 Tabelle #: TAB_FdV_114 – Suche nach Dokumenten in Dokumentenverwaltung

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15322-01;ePA-Frontend des Versicherten: IHE XDS-Transaktion [ITI-18];"Das ePA-Frontend des Versicherten MUSS für die Nutzung der Operation
I_Document_Management_Insurant::RegistryStoredQuery gemäß der in [IHE-ITI-TF]
definierten IHE XDS-Transaktion [ITI-18] ""Registry Stored Query"" als Akteur
""Document Consumer"" umsetzen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Dokumentenverwaltung;ePA
gemSpec_ePA_FdV;A_15323-02;ePA-Frontend des Versicherten: Vergebene Berechtigungen bestimmen;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Vergebene Berechtigungen
bestimmen"" gemäß TAB_FdV_115 umsetzen.

 Tabelle #: TAB_FdV_115 – Vergebene Berechtigungen bestimmen

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Berechtigung;ePA
gemSpec_ePA_FdV;A_15324-01;ePA-Frontend des Versicherten: Berechtigung bestimmen - Policy Documents suchen;"Das ePA-Frontend des Versicherten MUSS für die Aktivität ""Vergebene
Berechtigungen bestimmen"" zur Suche der Policy Documents die übergreifende
Aktivität ""Suche nach Dokumenten in Dokumentenverwaltung"" mit
einer query:AdhocQueryRequest_Message für Policy Documents ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Berechtigung;ePA
gemSpec_ePA_FdV;A_15325-01;ePA-Frontend des Versicherten: Berechtigung auflisten - Policy Dokuments herunterladen;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Vergebene
Berechtigungen anzeigen"" zum Herunterladen der Policy Documents die
übergreifende Aktivität ""Dokumentenset aus Dokumentenverwaltung herunterladen""
mit einer RetrieveDocumentSet_Message für alle über die XDS-Metadaten
ermittelten Kennungen (DocumentEntry.uniqueId) von Policy Documents ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Berechtigung;ePA
gemSpec_ePA_FdV;A_15328-01;ePA-Frontend des Versicherten: AuthorizationKey erstellen - Berechtigungstyp DOCUMENT_AUTHORIZATION;"Das ePA-Frontend des Versicherten MUSS beim Erstellen eines AuthorizationKey den
AuthorizationType = DOCUMENT_AUTHORIZATION setzen, wenn dem zu Berechtigenden
Zugriff auf Dokumente in der Dokumentenverwaltung gewährt werden soll.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Berechtigung;ePA
gemSpec_ePA_FdV;A_15330-02;ePA-Frontend des Versicherten: Schlüsselmaterial aus ePA-Aktensystem laden;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Schlüsselmaterial aus ePA-Aktensystem laden"" gemäß TAB_FdV_116 umsetzen.

 Tabelle #: TAB_FdV_116 – Schlüsselmaterial aus ePA-Aktensystem laden

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;ePA
gemSpec_ePA_FdV;A_15331-02;ePA-Frontend des Versicherten: Schlüsselmaterial im ePA-Aktensystem speichern;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Schlüsselmaterial im ePA-Aktensystem speichern"" gemäß TAB_FdV_117 umsetzen.

 Tabelle #: TAB_FdV_117 – Schlüsselmaterial im ePA-Aktensystem speichern

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;ePA
gemSpec_ePA_FdV;A_15332-01;ePA-Frontend des Versicherten: Schlüsselmaterial im ePA-Aktensystem speichern KEY_ERROR;"Das ePA-Frontend des Versicherten MUSS, wenn die Aktivität ""Schlüsselmaterial im ePA-Aktensystem speichern"" den Fehler KEY_ERROR liefert, einmalig den Anwendungsfall nicht abbrechen, das bereits hinterlegte Schlüsselmaterial mit der Aktivität ""Schlüsselmaterial im ePA-Aktensystem löschen"" löschen und die Aktivität ""Schlüsselmaterial im ePA-Aktensystem speichern"" wiederholen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;ePA
gemSpec_ePA_FdV;A_15334-01;ePA-Frontend des Versicherten: Schlüsselmaterial im ePA-Aktensystem löschen;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Schlüsselmaterial im ePA-Aktensystem löschen"" gemäß TAB_FdV_119 umsetzen.

 Tabelle #: TAB_FdV_119 – Schlüsselmaterial im ePA-Aktensystem löschen

[...] ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;ePA
gemSpec_ePA_FdV;A_15336-01;ePA-Frontend des Versicherten: Suchanfrage Verzeichnisdienst der TI;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""Suchanfrage
Verzeichnisdienst der TI"" gemäß TAB_FdV_121 umsetzen.

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";VZD;ePA
gemSpec_ePA_FdV;A_15338-01;ePA-Frontend des Versicherten: PIN-Eingabe für eGK durch Nutzer;"Das ePA-Frontend des Versicherten MUSS die Aktivität ""PIN-Eingabe durch Nutzer"" gemäß TAB_FdV_122 umsetzen.

 Tabelle #: TAB_FdV_122 – PIN-Eingabe durch Nutzer

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Karten (bsp. eGK);Neutral
gemSpec_ePA_FdV;A_15339-01;ePA-Frontend des Versicherten: Abbruch Anwendungsfall nach fehlgeschlagener Nutzerverifikation;"Das ePA-Frontend des Versicherten MUSS, wenn die Nutzerverifikation in der Operation ""PIN-Eingabe durch Nutzer"" fehlschlägt, den Anwendungsfall abbrechen, in dem die Operation aufgerufen wurde.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Karten (bsp. eGK);Neutral
gemSpec_ePA_FdV;A_15340-01;ePA-Frontend des Versicherten: Login - Session-Daten für RecordIdentifier prüfen;"Das ePA-Frontend des Versicherten MUSS den Anwendungsfall ""Login Aktensession"" ohne Fehler abbrechen, wenn gültige Session-Daten zu dem RecordIdentifier vorliegen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Nutzerzugang;Neutral
gemSpec_ePA_FdV;A_15341-01;ePA-Frontend des Versicherten: Login - Einlesen der Karte;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Login Aktensession"",
wenn die Authentisierung mittels eGK erfolgt, die Aktivität ""Einlesen der
Karte"" gemäß TAB_FdV_124 umsetzen.

 Tabelle #: TAB_FdV_124 – Login - Einlesen der Karte

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Karten (bsp. eGK);Neutral
gemSpec_ePA_FdV;A_15343-01;ePA-Frontend des Versicherten: Login - Authentisieren des Nutzers;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Login Aktensession"" die übergreifende Aktivität ""Authentisieren des Nutzers"" ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Nutzerzugang;Neutral
gemSpec_ePA_FdV;A_15344-01;ePA-Frontend des Versicherten: Login - Autorisieren des Nutzers - Schlüsselmaterial aus ePA-Aktensystem laden;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Login Aktensession"" zum Autorisieren des Nutzers die übergreifende Aktivität ""Schlüsselmaterial aus ePA-Aktensystem laden"" ausführen. Wenn die Aktivität die Informationen AuthenticationAssertion, AuthorizationAssertion, RecordKey (Aktenschlüssel) oder ContextKey (Kontextschlüssel) liefert, dann werden diese in die Session-Daten übernommen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Session;ePA
gemSpec_ePA_FdV;A_15346-01;ePA-Frontend des Versicherten: Login - Autorisieren des Nutzers - Aktenkontostatus REGISTERED;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Login Aktensession"" den Aktenzustand aus dem Autorisierungstoken ermitteln und beiRecordState = REGISTERED den Anwendungsfall ohne Fehler abbrechen und den Anwendungsfall ""Aktenkonto aktivieren"" starten.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Session;ePA
gemSpec_ePA_FdV;A_15348-01;ePA-Frontend des Versicherten: Login - Aktenkontext öffnen - Operation OpenContext;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Login Aktensession"" in der Aktivität ""Aktenkontext öffnen"" das Übersenden des Kontextschlüssels gemäß TAB_FdV_126 umsetzen.

 Tabelle #: TAB_FdV_126 – Login - Aktenkontext öffnen - Operation OpenContext

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Session;ePA
gemSpec_ePA_FdV;A_15352-02;ePA-Frontend des Versicherten: Login - Protokolldaten Dokumentenverwaltung abfragen;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Login Aktensession"", wenn die Konfiguration Benachrichtigungen aktivieren = ja gesetzt ist, die Protokolldaten der Komponente Dokumentenverwaltung gemäß A_15485-* abfragen und das Ergebnis gemäß der Konfiguration Benachrichtigungszeitraum filtern. Falls gemäß A_15354-* noch kein Wert ""Letzte Anmeldung zum Aktenkonto"" vorliegt, ist es ausreichend, wenn die Protokolldaten für den Zeitraum der letzten 30 Tage abgefragt werden. Der Versicherte MUSS dann über eine Einschränkung der Protokolldaten informiert werden.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Protokolldaten;ePA
gemSpec_ePA_FdV;A_15355-01;ePA-Frontend des Versicherten: Logout Aktensession;"Das ePA-Frontend des Versicherten MUSS den Anwendungsfall ""UC 1.3 - Logout durch einen Nutzer"" aus [gemSysL_ePA] gemäß TAB_FdV_127 umsetzen.

 Tabelle #: TAB_FdV_127 – Logout Aktensession

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Session;ePA
gemSpec_ePA_FdV;A_15356-01;ePA-Frontend des Versicherten: Logout - Aktenkontext schließen;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Logout Aktensession"", wenn ein sicherer Kanal zur Dokumentenverwaltung aufgebaut und der Aktenkontext erfolgreich geöffnet wurde, die Aktivität ""Aktenkontext schließen"" gemäß TAB_FdV_128 umsetzen.

 Tabelle #: TAB_FdV_128 – Logout - Aktenkontext schließen

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Session;ePA
gemSpec_ePA_FdV;A_15360-01;ePA-Frontend des Versicherten: Aktenkonto aktivieren;"Das ePA-Frontend des Versicherten MUSS den Anwendungsfall ""UC 2.1 - Aktenkonto
einrichten"" aus [gemSysL_ePA] gemäß TAB_FdV_130 umsetzen.


 Tabelle #: TAB_FdV_130 – Aktenkonto aktivieren

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Aktivierung;ePA
gemSpec_ePA_FdV;A_15362-01;ePA-Frontend des Versicherten: Aktenkonto aktivieren - Aktenschlüssel erzeugen;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Aktenkonto
aktivieren"" den Aktenschlüssel erzeugen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Aktivierung;ePA
gemSpec_ePA_FdV;A_15363-01;ePA-Frontend des Versicherten: Aktenkonto aktivieren - Kontextschlüssel erzeugen;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Aktenkonto
aktivieren"" den Kontextschlüssel erzeugen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Aktivierung;ePA
gemSpec_ePA_FdV;A_15364-01;ePA-Frontend des Versicherten: Aktenkonto aktivieren - AuthorizationKey erstellen;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Aktenkonto
aktivieren"" einen AuthorizationKey mit

 * den erzeugten Aktenschlüssel und Kontextschlüssel,

 * dem Namen und der Versicherten-ID aus dem Authentisierungszertifikat

 * sowie AuthorizationType = DOCUMENT_AUTHORIZATION
 für den Versicherten erstellen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Aktivierung;ePA
gemSpec_ePA_FdV;A_15365-01;ePA-Frontend des Versicherten: Aktenkonto aktivieren - Schlüsselmaterial im ePA-Aktensystem speichern;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Aktenkonto
aktivieren"" für das Hochladen des Schlüsselmaterials in das ePA-Aktensystem die
übergreifende Aktivität ""Schlüsselmaterial im ePA-Aktensystem speichern"" mit
dem Eingangsparameter AuthorizationKey = erstellter AuthorizationKey ausführen.
Der optionale ParameterNotificationInfoRepresentative wird nicht belegt.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Aktivierung;ePA
gemSpec_ePA_FdV;A_15370-02;ePA-Frontend des Versicherten: Anbieter wechseln;"Das ePA-Frontend des Versicherten MUSS den Anwendungsfall ""UC 2.5 - Anbieter
wechseln"" aus [gemSysL_ePA] gemäß TAB_FdV_131 umsetzen.

 Tabelle #: TAB_FdV_131 – Anbieter wechseln

[...] ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Migration;ePA
gemSpec_ePA_FdV;A_15375-01;ePA-Frontend des Versicherten: Anbieter wechseln - Schlüsselmaterial für Aktenkontoinhaber im ePA-Aktensystem speichern;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Anbieter wechseln""
für das Hochladen des Schlüsselmaterials in das ePA-Aktensystem des neuen
Anbieters die übergreifende Aktivität ""Schlüsselmaterial im ePA-Aktensystem
speichern"" mit dem Eingangsparameter AuthorizationKey = erstellter
AuthorizationKey ausführen. Der optionale Parameter
NotificationInfoRepresentative wird nicht belegt.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Migration;ePA
gemSpec_ePA_FdV;A_15377-02;ePA-Frontend des Versicherten: Anbieter wechseln - Aktenkonto in Exportzustand versetzen;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Anbieter wechseln""
die Aktivität ""Aktenkonto in Exportzustand versetzen"" gemäß TAB_FdV_132
umsetzen.

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Migration;ePA
gemSpec_ePA_FdV;A_15378-01;ePA-Frontend des Versicherten: Anbieter wechseln - Login neues Aktenkonto;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Anbieter wechseln""
die folgenden Aktivitäten aus dem Anwendungsfall ""Login Aktensession"" mit den
Daten des Aktenkontos beim neuen Anbieter ausführen, um sich beim neuen
Aktenkonto einzuloggen:
 * Authentisieren des Nutzers
 * Autorisieren des Nutzers
 * Sicheren Kanal zur Dokumentenverwaltung aufbauen
 * Aktenkontext öffnen ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Migration;ePA
gemSpec_ePA_FdV;A_15379-01;ePA-Frontend des Versicherten: Anbieter wechseln - Aktenkonto fortführen;"Das ePA-Frontend des Versicherten MUSS im Anwendungsfall ""Anbieter wechseln""
die Aktivität ""Aktenkonto fortführen"" gemäß TAB_FdV_133 beim Aktenkonto des
neuen Anbieters umsetzen.


 Tabelle #: TAB_FdV_133 – Anbieter wechseln - Aktenkonto fortführen

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Migration;ePA
gemSpec_ePA_FdV;A_15383-02;ePA-Frontend des Versicherten: Berechtigung an LEI für Aktenkonto vergeben;"Das ePA-Frontend des Versicherten MUSS den Anwendungsfall ""UC 3.1 -
Berechtigung durch einen Versicherten vergeben"" aus [gemSysL_ePA] für jede LEI,
für die eine Berechtigung vergeben werden soll, gemäß TAB_FdV_134 umsetzen.

 Tabelle #: TAB_FdV_134 – Berechtigung an LEI für Aktenkonto vergeben

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Berechtigung;ePA
