Kontext;Quelle;Anforderungs Nr.;Titel;Beschreibung;Verbindlichkeit;Pruefverfahren;Thema;Schwerpunkt
eRp;gemSpec_eRp_FdV;A_20036;E-Rezept-FdV: Anzeige der Abgabeinformationen;"Das E-Rezept-FdV MUSS dem Nutzer die Abgabeinformationen in geeigneter Weise
anzeigen";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abgabeinformationen anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_22174;E-Rezept-FdV: Abrechnungsinformation abrufen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""Abrechnungsinformation durch den
Versicherten abrufen"" gemäß TAB_FdVERP_024 umsetzen. 
 Tabelle # : TAB_FdVERP_024 – Abrechnungsinformation abrufen

Name Abrechnungsinformation abrufen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter
Vorbedingung
 * Der Nutzer hat sich gegenüber der TI authentisiert.
 * Die Prescription-ID zur Abrechnungsinformation ist bekannt
Nachbedingung
 * Die Daten stehen zur Weiterverarbeitung (bspw. Anzeige oder Übermittlung
zum Kostenträger) bereit.
Standardablauf
 * Prescription-ID bestimmen
 * Datensatz abfragen ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation abrufen;unknown
eRp;gemSpec_eRp_FdV;A_NEU;E-Rezept-FdV: optional: Abrechnungsinformation abrufen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""Abrechnungsinformation durch den Versicherten abrufen"" umsetzen. ";KANN;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF Abrechnungsinformation abrufen;unknown
eRp;gemSpec_eRp_FdV;A_22175;E-Rezept-FdV: Abrechnungsinformation abrufen - Abfragerequest einzelner Datensatz;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Abrechnungsinformation abfragen"" zum
Abrufen der Information zu einem einzelnen Datensatz vom E-Rezept-Fachdienst
die HTTP-OperationGET /ChargeItem/<id>/ mit 
 * ACCESS_TOKEN im Authorization-Header
 * Prescription-ID in URL <id>ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation abrufen;unknown
eRp;gemSpec_eRp_FdV;A_22182;E-Rezept-FdV: Abrechnungsinformation löschen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""Abrechnungsinformation löschen"" gemäß
TAB_FdVERP_027 umsetzen. 
 Tabelle # : TAB_FdVERP_027 – Abrechnungsinformation löschen

Name Abrechnungsinformation löschen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter
Vorbedingung
 * Der Nutzer hat die Abrechnungsinforamtion vom E-Rezept-Fachdienst
heruntergeladen
 * Der Nutzer hat die Abrechnungsinformation zum Löschen markiert und das
Löschen bestätigt.
 * Der Nutzer hat sich gegenüber der TI authentisiert.
Nachbedingung
 * Die ausgewählten Abrechnungsinformation ist vom E-Rezept-Fachdienst
unwiederbringlich gelöscht.
Standardablauf
 * Prescription-ID der Abrechnungsinformation bestimmen
 * Abrechnungsinformation löschen ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation löschen;unknown
eRp;gemSpec_eRp_FdV;A_NEU;E-Rezept-FdV: optional: Abrechnungsinformation löschen;"Das E-Rezept-FdV KANN den Anwendungsfall ""Abrechnungsinformation löschen"" umsetzen.";KANN;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF Abrechnungsinformation löschen;unknown
eRp;gemSpec_eRp_FdV;A_22180;E-Rezept-FdV: Abrechnungsinformation löschen - Abrechnungsinformationen zum Löschen auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, eine Abrechnungsinformationen
zum Löschen auf dem E-Rezept-Fachdienst zu markieren.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation löschen;unknown
eRp;gemSpec_eRp_FdV;A_22181;E-Rezept-FdV: Abrechnungsinformation löschen - Bestätigung;"Das E-Rezept-FdV MUSS vom Nutzer eine Bestätigung einholen, dass die
selektierte Abrechnungsinformation gelöscht werden soll und die Möglichkeit
geben, das Löschen abzubrechen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation löschen;unknown
eRp;gemSpec_eRp_FdV;A_22183;E-Rezept-FdV: Abrechnungsinformation löschen - Löschrequest;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Abrechnungsinformation löschen"" die
HTTP-OperationDELETE /ChargeItem/<id> des E-Rezept-Fachdienstes mit
 * ACCESS_TOKEN im Authorization-Header
 * Prescription-ID in URL <id>ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation löschen;unknown
eRp;gemSpec_eRp_FdV;A_22707;E-Rezept-FdV: Hinweis automatisches Löschen Abrechnungsinformationen;"Das E-Rezept-FdV MUSS den Nutzer vor Erreichen der Aufbewahrungsfrist der
Abrechnungsinformation einen Hinweis zum automatischen Löschen geben, um dem
Nutzer die Möglichkeit zu geben, falls gewünscht die Daten herunterzuladen und
zu archivieren.";MUSS;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF Abrechnungsinformation löschen;unknown
eRp;gemSpec_eRp_FdV;A_22177-01;E-Rezept-FdV: Abrechnungsinformation markieren;"Das E-Rezept-FdV MUSS den Anwendungsfall ""Abrechnungsinformation durch den
Versicherten markieren"" gemäß TAB_FdVERP_026 umsetzen. 

 Tabelle # : TAB_FdVERP_026 – Abrechnungsinformation markieren

Name Abrechnungsinformation markieren
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter
Vorbedingung
 * Der Nutzer hat eine oder mehrere Markierungen aus- oder abgewählt.
 * Der Nutzer hat sich gegenüber der TI authentisiert.
Nachbedingung
 * Die Markierungen sind im E-Rezept-Fachdienst gespeichert.
Standardablauf
 * Prescription-ID der Abrechnungsinformation bestimmen

 * Daten speichern ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation markieren;unknown
eRp;gemSpec_eRp_FdV;A_NEU;E-Rezept-FdV: optional: Abrechnungsinformation markieren;"Das E-Rezept-FdV KANN den Anwendungsfall ""Abrechnungsinformation durch den
Versicherten markieren"" umsetzen.";KANN;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF Abrechnungsinformation markieren;unknown
eRp;gemSpec_eRp_FdV;A_22176;E-Rezept-FdV: Abrechnungsinformation markieren - Markierungen auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, eine oder mehrere der
folgenden Inhalte als Markierung für eine Abrechnungsinformation zu wählen oder
abzuwählen:
 * zur Abrechnung bei Krankenversicherung eingereicht (extention
""insuranceProvider"")
 * zur Abrechnung bei der Beihilfe eingereicht (extention ""subsity"")
 * zur Einreichung beim Finanzamt verwendet (extention ""taxOffice"")";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation markieren;unknown
eRp;gemSpec_eRp_FdV;A_22179-01;E-Rezept-FdV: Abrechnungsinformation markieren - Speicherrequest;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Abrechnungsinformation markieren"" zum
Speichern der Information im E-Rezept-Fachdienst die HTTP-OperationPATCH
/ChargeItem/<id> mit 

 * ACCESS_TOKEN im Authorization-Header
 * Prescription-ID in URL <id>
 für jede zu ändernde Markierung

 * ""add"" in type
 * zu ändernde Markierung in path
 * geänderter Wert in value  ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation markieren;unknown
eRp;gemSpec_eRp_FdV;A_22172;E-Rezept-FdV: Liste Abrechnungsinformationen abrufen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""Abrechnungsinformation durch den
Versicherten abrufen"" gemäß TAB_FdVERP_023 umsetzen. 
 Tabelle # : TAB_FdVERP_023 – Liste Abrechnungsinformationen abrufen

Name Liste Abrechnungsinformationen abrufen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter
Vorbedingung
 * Der Nutzer hat sich gegenüber der TI authentisiert.
Nachbedingung
 * Die Liste zur Weiterverarbeitung (bspw. Herunterladen der detaillierten
Informationen) bereit.
Standardablauf
 * Mehrere Datensätze abfragen ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformationen abrufen;unknown
eRp;gemSpec_eRp_FdV;A_NEU;E-Rezept-FdV: optional: Liste Abrechnungsinformationen abrufen;"Das E-Rezept-FdV KANN den Anwendungsfall ""Abrechnungsinformation durch den
Versicherten abrufen"" umsetzen.";KANN;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF Abrechnungsinformationen abrufen;unknown
eRp;gemSpec_eRp_FdV;A_22173;E-Rezept-FdV: Liste Abrechnungsinformationen abrufen - Abfragerequest;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Liste Abrechnungsinformationen
abfragen"" zum Abrufen der Information vom E-Rezept-Fachdienst die HTTP-Operation
GET /ChargeItem mit 
 * ACCESS_TOKEN im Authorization-Headerausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformationen abrufen;unknown
eRp;gemSpec_eRp_FdV;A_22184;E-Rezept-FdV: Abrechnungsinformation exportieren - PDF/A erstellen;"Das E-Rezept-FdV MUSS auf Basis der vom E-Rezept-Fachdienst zu einer
Prescription-ID heruntergeladenen ChargeItem, Verordnungsdatensatz,
PKV-Abgabedatensatz und Quittung Ressourcen
 * einen Ausdruck erstellen,
 * für den Ausdruck ein PDF gemäß PDF/A-3-Standard (ISO 19005-3) erstellen,
 * in das Dokument den signierten Verordnungsdatensatz
(<Prescription-ID>_verordnung.ps7), den signierten PKV-Abgabedatensatz
(<Prescription-ID>_abrechnung.ps7) und den signierten Quittung Datensatz
(<Prescription-ID>_quittung.ps7) gemäß PDF/A-3 einbetten.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformationen exportieren;unknown
eRp;gemSpec_eRp_FdV;A_22185;E-Rezept-FdV: Abrechnungsinformation exportieren - PDF teilen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, das erstellte PDF mit anderen
Apps zu teilen, um den Versicherten die Möglichkeit zu geben, seine
Abrechnungsinformation an Krankenversicherungen oder andere Institutionen zur
Abrechnung zu übermitteln.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformationen exportieren;unknown
eRp;gemSpec_eRp_FdV;A_NEU;E-Rezept-FdV: optional: Abrechnungsinformation exportieren;"Das E-Rezept-FdV KANN den Anwendungsfall ""Abrechnungsinformation exportieren"" umsetzen. ";KANN;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF Abrechnungsinformationen exportieren;unknown
eRp;gemSpec_eRp_FdV;A_22738;E-Rezept-FdV: Abrechnungsinformation-Token übermitteln;"Das E-Rezept-FdV MUSS den Anwendungsfall ""UC 3.3 - Nachricht durch Versicherten
übermitteln"" aus [gemSysL_eRp] für das Zuweisen eines E-Rezepts gemäß
TAB_FdVERP_025 umsetzen.
 Tabelle # : TAB_FdVERP_025 – Abrechnungsinformation-Token einer Apotheke
übermitteln

Name Abrechnungsinformation-Token einer Apotheke übermitteln
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter
Vorbedingung
 * Die ChargeItem-Ressource ist im E-Rezept-Frontend lokal gespeichert.
 * Die Authentisierung des Nutzers ist erfolgt
Nachbedingung
 * Die Apotheke kann eine Nachricht mit dem Abrechnungsinformation-Token vom
E-Rezept-Fachdienst abrufen
Standardablauf
 * Abrechnungsinformation-Token erstellen
 * Nachricht erstellen
 * Nachricht auf dem E-Rezept-Fachdienst einstellen
Varianten / Alternativen
 * 2D-Code anzeigen ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation-Token übermitteln;unknown
eRp;gemSpec_eRp_FdV;A_NEU;E-Rezept-FdV: optional: Abrechnungsinformation-Token übermitteln;"Das E-Rezept-FdV KANN den Anwendungsfall ""UC 3.3 - Nachricht durch Versicherten übermitteln"" aus [gemSysL_eRp] für das Zuweisen eines E-Rezepts umsetzen.";KANN;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF Abrechnungsinformation-Token übermitteln;unknown
eRp;gemSpec_eRp_FdV;A_22735;E-Rezept-FdV: Abrechnungsinformation-Token übermitteln - E-Rezept auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, ein E-Rezept auszuwählen, um
den zugehörigen Abrechnungsinformation-Token der Apotheke, welche den
PKV-Abgabedatensatz bereitgestellt hat, mittels einer Nachricht zu übermitteln
und die Apotheke somit für das Ändern des PKV-Abgabedatensatzes zu berechtigen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation-Token übermitteln;unknown
eRp;gemSpec_eRp_FdV;A_22736;E-Rezept-FdV: Abrechnungsinformation-Token übermitteln - Apotheke auswählen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Abrechnungsinformation-Token einer
Apotheke übermitteln"" es dem Nutzer ermöglichen, die Apotheke auszuwählen,
welche die Abrechnungsinformation bereitgestellt hat.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation-Token übermitteln;unknown
eRp;gemSpec_eRp_FdV;A_22737;E-Rezept-FdV: Abrechnungsinformation-Token übermitteln - freie Textnachricht;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, eine freie Textnachricht zu
erfassen, welche der Nachricht an die Apotheke hinzugefügt wird.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation-Token übermitteln;unknown
eRp;gemSpec_eRp_FdV;A_22739-01;E-Rezept-FdV: Abrechnungsinformation-Token übermitteln - Nachricht erstellen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Abrechnungsinformation-Token einer
Apotheke übermitteln"" eine FHIR Ressource Communication des Profils 
https://gematik.de/fhir/erpchrg/StructureDefinition/GEM_ERPCHRG_PR_Communication_ChargChangeReq
 
<https://gematik.de/fhir/erpchrg/StructureDefinition/GEM_ERPCHRG_PR_Communication_ChargChangeReq>
 mit 

 * Telematik-ID der ausgewählten abgebenden LEI in recipient
 * Textnachricht in payload contentString
 * E-Rezept-Token in basedOn reference auf Task inkl. AccessCode als
""/ChargeItem/<id>?ac=..."" erstellen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation-Token übermitteln;unknown
eRp;gemSpec_eRp_FdV;A_22740;E-Rezept-FdV: Abrechnungsinformation-Token übermitteln - Nachricht auf E-Rezept-Fachdienst einstellen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Abrechnungsinformation-Token einer
Apotheke übermitteln"" zum Einstellen der Nachricht die HTTP-OperationPOST
/Communication  mit
 * ACCESS_TOKEN im Authorization-Header
 * Communication Ressource in HTTP-Request-Bodyausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abrechnungsinformation-Token übermitteln;unknown
eRp;gemSpec_eRp_FdV;A_19189;E-Rezept-FdV: Anfrage Belieferung - Apotheke auswählen;"Das E-Rezept-FdV MUSS es im Anwendungsfall ""Verfügbarkeit eines E-Rezepts
anfragen"" dem Nutzer ermöglichen, eine Apotheke für die Anfrage zur Belieferung
durch eine Apotheke auszuwählen. ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Anfrage Belieferung;unknown
eRp;gemSpec_eRp_FdV;A_19190;E-Rezept-FdV: Anfrage Belieferung - E-Rezept auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, ein E-Rezept für eine Anfrage
zur Belieferung durch eine Apotheke zu markieren.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Anfrage Belieferung;unknown
eRp;gemSpec_eRp_FdV;A_19191;E-Rezept-FdV: Anfrage Belieferung - freie Textnachricht;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, eine freie Textnachricht zu
verfassen, welche der Nachricht an die Apotheke hinzugefügt wird.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Anfrage Belieferung;unknown
eRp;gemSpec_eRp_FdV;A_19192;E-Rezept-FdV: Verfügbarkeit eines E-Rezepts anfragen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""UC 3.3 - Nachrichten durch
Versicherten übermitteln"" aus [gemSysL_eRp] für eine Anfrage zur Belieferung
durch eine Apotheke gemäß TAB_FDVERP_009 umsetzen. 
 Tabelle # : TAB_FdVERP_009 - Verfügbarkeit von per E-Rezept verordneter
Medikamente bei einer Apotheke erfragen

Name Verfügbarkeit von per E-Rezept verordneter Medikamente bei einer Apotheke
erfragen 
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter, Vertreter
Vorbedingung
 * Ein E-Rezept ist im E-Rezept-Frontend lokal gespeichert.
 * Die Telematik-ID der ausgewählten abgebenden LEI ist bekannt.
 * Authentisierung des Nutzers ist erfolgt
Nachbedingung
 * Eine Nachricht mit Informationen zum E-Rezept wurde der Apotheke gesendet.
Standardablauf
 * Rezeptinformation ermitteln
 * Nachricht erstellen
 * Nachricht auf dem E-Rezept-Fachdienst einstellen ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Anfrage Belieferung;unknown
eRp;gemSpec_eRp_FdV;A_19194-03;E-Rezept-FdV: Anfrage Belieferung - Nachricht erstellen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Verfügbarkeit eines E-Rezepts
anfragen"" eine FHIR RessourceCommunication des Profils 
https://gematik.de/fhir/erp/StructureDefinition/GEM_ERP_PR_Communication_InfoReq
 
<https://gematik.de/fhir/erp/StructureDefinition/GEM_ERP_PR_Communication_InfoReq>
 mit 


 * Telematik-ID der ausgewählten abgebenden LEI in recipient
 * Textnachricht in payload
 * Medication-Objekt aus dem E-Rezept-Bundle in about reference als contained
Objekt
 * Anzahl der Packungen des verordneten Medikamentes extension:PackageQuantity

 * IK-Nummer der Kasse des Versicherten aus dem E-Rezept-Bundle als
Identifier-Referenz inpayload 
 * Aut-Idem-Feld entsprechend der Festlegung im E-Rezept-Bundle
 * Rezepttyp als Wert des Flowtypes im Task des E-Rezept-Workflows
 * Referenz in basedOn reference auf Task OHNE Angabe des AccessCode,
ausschließlich als ""/Task/<id>"" 
 * optional: bevorzugte Belieferungsoptionen [""Apotheke"", ""Bote"", ""Versand""] 
erstellen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Anfrage Belieferung;unknown
eRp;gemSpec_eRp_FdV;A_19196;E-Rezept-FdV: Anfrage Belieferung - Nachricht auf E-Rezept-Fachdienst einstellen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Verfügbarkeit eines E-Rezepts
anfragen"" zur Übergabe der Nachricht an die einlösende Apotheke die
HTTP-OperationPOST /Communication  mit
 * ACCESS_TOKEN im Authorization-Header
 * Communication Ressource im HTTP-Request-Body  ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Anfrage Belieferung;unknown
eRp;gemSpec_eRp_FdV;A_20010;E-Rezept-FdV: Anfrage Belieferung - Textnachricht ohne Link;"Das E-Rezept-FdV MUSS prüfen, dass die durch den Nutzer erfasst Textnachricht
keinen Internet-Link und keine  Non-Printable-Characters enthält und die
Textnachricht nur bei erfolgreicher Prüfung weiterverarbeiten.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Anfrage Belieferung;unknown
eRp;gemSpec_eRp_FdV;A_21402-01;E-Rezept-FdV: Anfrage Belieferung - Flowtype 169 / 209 - Anfrage nicht zulässig;"Das E-Rezept-FdV DARF es dem Nutzer NICHT ermöglichen, für ein E-Rezept mit dem
Flowtype 169 oder 209 eine Anfrage zur Belieferung an eine Apotheke zu senden.";DARF NICHT;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF Anfrage Belieferung;unknown
eRp;gemSpec_eRp_FdV;A_19475;E-Rezept-FdV: Apotheke suchen - Suchabfrage Verzeichnisdienst;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Apotheke suchen"" zur Suche einer
Apotheke im Verzeichnisdienst die HTTP-OperationGET /Organization mit

 * ACCESS_TOKEN im Authorization-Header
 * Suchoption ""type=urn:oid|1.2.276.0.76.4.32""
 * weitere Suchoptionen gemäß https://www.hl7.org/fhir/organization.html#search
 <https://www.hl7.org/fhir/organization.html#search> ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Apotheke suchen;unknown
eRp;gemSpec_eRp_FdV;A_19476;E-Rezept-FdV: Stammapotheke speichern;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, mindestens fünf Apotheken als
Stammapotheke in der Konfiguration zu speichern.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Apotheke suchen;unknown
eRp;gemSpec_eRp_FdV;A_19477;E-Rezept-FdV: Apotheke suchen - Suchkriterien eingeben;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, Kriterien für die Suche nach
Apotheken einzugeben.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Apotheke suchen;unknown
eRp;gemSpec_eRp_FdV;A_19478;E-Rezept-FdV: Apotheke suchen - Ortungsfunktion;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, über die Ortungsfunktion des
verwendeten Gerätes den aktuellen Standort zu ermitteln, um diesen für eine
Umkreissuche von Apotheken zu verwenden.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Apotheke suchen;unknown
eRp;gemSpec_eRp_FdV;A_19479;E-Rezept-FdV: Filterfunktion;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, die Suchergebnisse nach
festgelegten Kriterien zu filtern. ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Apotheke suchen;unknown
